season_start,date,home,away,home_goals,away_goals,referee,referee_id
2024,2024-09-01,Guimaraes,Famalicao,2,1,Joao Goncalves,11471
2024,2024-09-13,Arouca,Sp Lisbon,0,3,Joao Pinheiro,5157
2024,2024-09-14,AVS,Rio Ave,1,0,Antonio Nobre,5458
2024,2024-09-14,Benfica,Santa Clara,4,1,Claudio Pereira,8767
2024,2024-09-14,Casa Pia,Moreirense,3,1,David Silva,11505
2024,2024-09-14,Famalicao,Gil Vicente,1,1,Helder Malheiro,3046
2024,2024-09-15,Estoril,Nacional,1,0,Bruno Vieira,7583
2024,2024-09-15,Porto,Farense,2,1,Nuno Almeida,28
2024,2024-09-15,Sp Braga,Guimaraes,0,2,Luis Godinho,5401
2024,2024-09-16,Estrela,Boavista,2,2,Tiago Martins,5170
2024,2024-09-20,Nacional,Sp Braga,0,3,Helder Malheiro,3046
2024,2024-09-21,Moreirense,Famalicao,0,0,Antonio Nobre,5458
2024,2024-09-21,Rio Ave,Estoril,2,2,Jose Bessa,12889
2024,2024-09-21,Santa Clara,Estrela,1,0,Joao Goncalves,11471
2024,2024-09-21,Guimaraes,Porto,0,3,Fabio Verissimo,5166
2024,2024-09-22,Farense,Arouca,0,1,Luis Godinho,5401
2024,2024-09-22,Gil Vicente,Casa Pia,1,1,Gustavo Correia,8873
2024,2024-09-22,Sp Lisbon,AVS,3,0,Ricardo Baixinho,5302
2024,2024-09-23,Boavista,Benfica,0,3,Joao Pinheiro,5157
2024,2024-09-27,Estoril,Sp Lisbon,0,3,Joao Goncalves,11471
2024,2024-09-28,Benfica,Gil Vicente,5,1,Miguel Nogueira,8910
2024,2024-09-28,Casa Pia,Guimaraes,1,1,Carlos Macedo,5286
2024,2024-09-28,Estrela,Moreirense,2,1,Miguel Fonseca,8761
2024,2024-09-29,Famalicao,Nacional,0,0,Helder Carvalho,11530
2024,2024-09-29,Porto,Arouca,4,0,Andre Narciso,4503
2024,2024-09-29,Sp Braga,Rio Ave,4,0,Claudio Pereira,8767
2024,2024-09-29,Santa Clara,Boavista,1,0,Bruno Vieira,7583
2024,2024-09-30,AVS,Farense,0,0,Fabio Verissimo,5166
2024,2024-10-04,Rio Ave,Famalicao,1,1,Joao Goncalves,11471
2024,2024-10-05,Arouca,AVS,1,1,David Silva,11505
2024,2024-10-05,Gil Vicente,Estrela,3,0,Iancu Vasilica,5457
2024,2024-10-05,Moreirense,Santa Clara,1,0,Nuno Almeida,28
2024,2024-10-05,Sp Lisbon,Casa Pia,2,0,Miguel Nogueira,8910
2024,2024-10-06,Porto,Sp Braga,2,1,Joao Pinheiro,5157
2024,2024-10-06,Farense,Estoril,1,0,Antonio Nobre,5458
2024,2024-10-06,Guimaraes,Boavista,2,2,Luis Godinho,5401
2024,2024-10-25,Casa Pia,Nacional,1,0,David Silva,11505
2024,2024-10-25,Santa Clara,Gil Vicente,2,1,Anzhony Rodrigues,8766
2024,2024-10-26,Boavista,Moreirense,0,2,Andre Narciso,4503
2024,2024-10-26,Estoril,Arouca,4,1,Carlos Macedo,5286
2024,2024-10-26,Famalicao,Sp Lisbon,0,3,Fabio Verissimo,5166
2024,2024-10-27,Benfica,Rio Ave,5,0,Tiago Martins,5170
2024,2024-10-27,Estrela,Guimaraes,2,2,Antonio Nobre,5458
2024,2024-10-27,Sp Braga,Farense,2,0,Joao Goncalves,11471
2024,2024-10-28,AVS,Porto,0,5,Miguel Nogueira,8910
2024,2024-11-01,Sp Lisbon,Estrela,5,1,Bruno Vieira,7583
2024,2024-11-02,Farense,Benfica,1,2,Claudio Pereira,8767
2024,2024-11-02,Gil Vicente,Boavista,1,2,Sergio Guelho,11327
2024,2024-11-02,Rio Ave,Casa Pia,2,2,Antonio Nobre,5458
2024,2024-11-03,AVS,Famalicao,2,3,Luis Godinho,5401
2024,2024-11-03,Arouca,Sp Braga,1,2,Ricardo Baixinho,5302
2024,2024-11-03,Porto,Estoril,4,0,David Silva,11505
2024,2024-11-03,Guimaraes,Moreirense,1,0,Miguel Nogueira,8910
2024,2024-11-04,Nacional,Santa Clara,2,0,Fabio Verissimo,5166
2024,2024-11-08,Moreirense,Gil Vicente,3,2,Ricardo Baixinho,5302
2024,2024-11-09,Boavista,Rio Ave,0,2,Joao Goncalves,11471
2024,2024-11-09,Casa Pia,Farense,1,1,Carlos Macedo,5286
2024,2024-11-09,Estoril,AVS,0,0,Goncalo Neves,13034
2024,2024-11-09,Famalicao,Arouca,0,0,Miguel Nogueira,8910
2024,2024-11-10,Benfica,Porto,4,1,Joao Pinheiro,5157
2024,2024-11-10,Estrela,Nacional,2,0,Bruno Pires Costa,11547
2024,2024-11-10,Sp Braga,Sp Lisbon,2,4,Luis Godinho,5401
2024,2024-11-10,Santa Clara,Guimaraes,1,0,Gustavo Correia,8873
2024,2024-11-29,Farense,Estrela,1,0,Joao Pinheiro,5157
2024,2024-11-30,Nacional,Boavista,0,0,Iancu Vasilica,5457
2024,2024-11-30,Rio Ave,Moreirense,3,2,Carlos Macedo,5286
2024,2024-11-30,Sp Lisbon,Santa Clara,0,1,Claudio Pereira,8767
2024,2024-12-01,AVS,Sp Braga,0,1,Antonio Nobre,5458
2024,2024-12-01,Estoril,Famalicao,2,1,Joao Goncalves,11471
2024,2024-12-01,Arouca,Benfica,0,2,Luis Godinho,5401
2024,2024-12-02,Porto,Casa Pia,2,0,Helder Malheiro,3046
2024,2024-12-02,Guimaraes,Gil Vicente,4,0,Tiago Martins,5170
2024,2024-12-05,Moreirense,Sp Lisbon,2,1,Antonio Nobre,5458
2024,2024-12-06,Sp Braga,Estoril,2,2,Bruno Vieira,7583
2024,2024-12-07,Benfica,Guimaraes,1,0,Miguel Nogueira,8910
2024,2024-12-07,Famalicao,Porto,1,1,Luis Godinho,5401
2024,2024-12-07,Gil Vicente,Nacional,2,1,Pedro Ramalho,5402
2024,2024-12-07,Santa Clara,Rio Ave,1,0,Joao Pinheiro,5157
2024,2024-12-08,Boavista,Farense,1,1,David Silva,11505
2024,2024-12-08,Casa Pia,AVS,1,1,Bruno Pires Costa,11547
2024,2024-12-09,Estrela,Arouca,2,1,Fabio Verissimo,5166
2024,2024-12-14,Farense,Gil Vicente,0,1,Bruno Pires Costa,11547
2024,2024-12-14,Nacional,Moreirense,1,0,Sergio Guelho,11327
2024,2024-12-14,Sp Lisbon,Boavista,3,2,Fabio Verissimo,5166
2024,2024-12-15,AVS,Benfica,1,1,Joao Goncalves,11471
2024,2024-12-15,Estoril,Casa Pia,0,2,Tiago Martins,5170
2024,2024-12-15,Arouca,Santa Clara,1,0,Andre Narciso,4503
2024,2024-12-16,Porto,Estrela,2,0,Miguel Nogueira,8910
2024,2024-12-16,Rio Ave,Guimaraes,2,2,Antonio Nobre,5458
2024,2024-12-16,Sp Braga,Famalicao,3,3,Helder Malheiro,3046
2024,2024-12-19,Nacional,Benfica,0,2,Gustavo Correia,8873
2024,2024-12-20,Casa Pia,Arouca,3,1,Anzhony Rodrigues,8766
2024,2024-12-21,Boavista,AVS,0,0,Claudio Pereira,8767
2024,2024-12-21,Famalicao,Farense,1,2,Miguel Nogueira,8910
2024,2024-12-21,Moreirense,Porto,0,3,Fabio Verissimo,5166
2024,2024-12-22,Gil Vicente,Sp Lisbon,0,0,Andre Narciso,4503
2024,2024-12-22,Santa Clara,Sp Braga,0,2,Tiago Martins,5170
2024,2024-12-23,Benfica,Estoril,3,0,Antonio Nobre,5458
2024,2024-12-23,Estrela,Rio Ave,1,0,Iancu Vasilica,5457
2024,2024-12-23,Guimaraes,Nacional,2,2,Joao Pinheiro,5157
2024,2024-12-27,Arouca,Gil Vicente,1,1,Claudio Pereira,8767
2024,2024-12-28,AVS,Estrela,1,1,Pedro Ramalho,5402
2024,2024-12-28,Estoril,Moreirense,2,2,Bruno Pires Costa,11547
2024,2024-12-28,Porto,Boavista,4,0,Joao Goncalves,11471
2024,2024-12-29,Farense,Guimaraes,2,2,Bruno Vieira,7583
2024,2024-12-29,Rio Ave,Nacional,2,1,Goncalo Neves,13034
2024,2024-12-29,Sp Braga,Casa Pia,1,2,David Silva,11505
2024,2024-12-29,Sp Lisbon,Benfica,1,0,Fabio Verissimo,5166
2024,2024-12-30,Famalicao,Santa Clara,1,2,Carlos Macedo,5286
2024,2025-01-03,Guimaraes,Sp Lisbon,4,4,Joao Goncalves,11471
2024,2025-01-04,Benfica,Sp Braga,1,2,Luis Godinho,5401
2024,2025-01-04,Boavista,Arouca,1,3,Gustavo Correia,8873
2024,2025-01-04,Moreirense,AVS,1,1,Helder Malheiro,3046
2024,2025-01-05,Casa Pia,Famalicao,1,1,Andre Narciso,4503
2024,2025-01-05,Estrela,Estoril,2,4,Anzhony Rodrigues,8766
2024,2025-01-05,Santa Clara,Farense,0,0,Antonio Nobre,5458
2024,2025-01-06,Gil Vicente,Rio Ave,1,1,David Silva,11505
2024,2025-01-12,Nacional,Porto,2,0,Tiago Martins,5170
2024,2025-01-17,Benfica,Famalicao,4,0,Joao Goncalves,11471
2024,2025-01-18,Rio Ave,Sp Lisbon,0,3,Luis Godinho,5401
2024,2025-01-18,Santa Clara,Estoril,2,3,Miguel Fonseca,8761
2024,2025-01-18,Guimaraes,Arouca,2,2,Miguel Nogueira,8910
2024,2025-01-19,Estrela,Sp Braga,0,1,Iancu Vasilica,5457
2024,2025-01-19,Gil Vicente,Porto,3,1,Fabio Verissimo,5166
2024,2025-01-19,Moreirense,Farense,0,0,Sergio Guelho,11327
2024,2025-01-19,Nacional,AVS,3,1,Helder Carvalho,11530
2024,2025-01-20,Boavista,Casa Pia,2,3,Pedro Ramalho,5402
2024,2025-01-24,Arouca,Moreirense,1,0,Carlos Macedo,5286
2024,2025-01-25,Casa Pia,Benfica,3,1,Antonio Nobre,5458
2024,2025-01-25,Famalicao,Estrela,0,0,Claudio Pereira,8767
2024,2025-01-25,Farense,Rio Ave,1,2,Joao Pinheiro,5157
2024,2025-01-25,Sp Lisbon,Nacional,2,0,Iancu Vasilica,5457
2024,2025-01-26,Estoril,Guimaraes,1,0,Luis Godinho,5401
2024,2025-01-26,Porto,Santa Clara,1,1,Andre Narciso,4503
2024,2025-01-26,Sp Braga,Boavista,3,0,Helder Malheiro,3046
2024,2025-01-27,AVS,Gil Vicente,1,0,Anzhony Rodrigues,8766
2024,2025-01-31,Boavista,Famalicao,0,2,David Silva,11505
2024,2025-02-01,Gil Vicente,Estoril,1,2,Iancu Vasilica,5457
2024,2025-02-01,Nacional,Arouca,1,2,Pedro Ramalho,5402
2024,2025-02-01,Santa Clara,Casa Pia,2,1,Miguel Nogueira,8910
2024,2025-02-01,Guimaraes,AVS,2,0,Helder Malheiro,3046
2024,2025-02-02,Estrela,Benfica,2,3,Joao Pinheiro,5157
2024,2025-02-02,Sp Lisbon,Farense,3,1,Antonio Nobre,5458
2024,2025-02-03,Moreirense,Sp Braga,1,2,Claudio Pereira,8767
2024,2025-02-03,Rio Ave,Porto,2,2,Gustavo Correia,8873
2024,2025-02-07,Porto,Sp Lisbon,1,1,Joao Pinheiro,5157
2024,2025-02-08,AVS,Santa Clara,1,2,Sergio Guelho,11327
2024,2025-02-08,Benfica,Moreirense,3,2,Bruno Pires Costa,11547
2024,2025-02-08,Famalicao,Guimaraes,0,0,Andre Narciso,4503
2024,2025-02-09,Casa Pia,Estrela,1,0,Helder Malheiro,3046
2024,2025-02-09,Estoril,Boavista,2,1,Helder Carvalho,11530
2024,2025-02-09,Farense,Nacional,0,2,Luis Godinho,5401
2024,2025-02-09,Sp Braga,Gil Vicente,2,0,Antonio Nobre,5458
2024,2025-02-10,Arouca,Rio Ave,1,1,Iancu Vasilica,5457
2024,2025-02-14,Boavista,Estrela,0,1,Luis Godinho,5401
2024,2025-02-15,Moreirense,Casa Pia,3,2,Joao Pinheiro,5157
2024,2025-02-15,Nacional,Estoril,2,2,Miguel Fonseca,8761
2024,2025-02-15,Santa Clara,Benfica,0,1,Helder Malheiro,3046
2024,2025-02-15,Sp Lisbon,Arouca,2,2,Miguel Nogueira,8910
2024,2025-02-16,Farense,Porto,0,1,Tiago Martins,5170
2024,2025-02-16,Rio Ave,AVS,1,1,David Silva,11505
2024,2025-02-16,Guimaraes,Sp Braga,0,0,Joao Goncalves,11471
2024,2025-02-17,Gil Vicente,Famalicao,0,2,Anzhony Rodrigues,8766
2024,2025-02-21,Sp Braga,Nacional,1,0,Claudio Pereira,8767
2024,2025-02-22,Benfica,Boavista,3,0,Jose Bessa,12889
2024,2025-02-22,Casa Pia,Gil Vicente,1,0,Bruno Pires Costa,11547
2024,2025-02-22,Estoril,Rio Ave,2,1,Sergio Guelho,11327
2024,2025-02-23,AVS,Sp Lisbon,2,2,Fabio Verissimo,5166
2024,2025-02-23,Estrela,Santa Clara,0,0,Miguel Nogueira,8910
2024,2025-02-23,Arouca,Farense,2,2,Andre Narciso,4503
2024,2025-02-23,Famalicao,Moreirense,2,0,Luis Godinho,5401
2024,2025-02-24,Porto,Guimaraes,1,1,Antonio Nobre,5458
2024,2025-03-01,Arouca,Porto,0,2,Joao Goncalves,11471
2024,2025-03-01,Nacional,Famalicao,2,1,Gustavo Correia,8873
2024,2025-03-01,Guimaraes,Casa Pia,1,0,Andre Narciso,4503
2024,2025-03-02,Boavista,Santa Clara,1,0,Bruno Vieira,7583
2024,2025-03-02,Farense,AVS,0,1,David Silva,11505
2024,2025-03-02,Moreirense,Estrela,1,1,Jose Bessa,12889
2024,2025-03-02,Rio Ave,Sp Braga,2,1,Fabio Verissimo,5166
2024,2025-03-03,Sp Lisbon,Estoril,3,1,Helder Carvalho,11530
2024,2025-03-07,Estrela,Gil Vicente,1,1,Joao Goncalves,11471
2024,2025-03-08,AVS,Arouca,0,1,Miguel Nogueira,8910
2024,2025-03-08,Benfica,Nacional,3,0,Andre Narciso,4503
2024,2025-03-08,Estoril,Farense,2,2,Antonio Nobre,5458
2024,2025-03-08,Sp Braga,Porto,1,0,Luis Godinho,5401
2024,2025-03-09,Boavista,Guimaraes,1,2,Joao Pinheiro,5157
2024,2025-03-09,Casa Pia,Sp Lisbon,1,3,Helder Malheiro,3046
