season_start,date,home,away,home_goals,away_goals,referee,referee_id
2025,2025-08-16,Tondela,Famalicao,0,1,Fabio Verissimo,5166
2025,2025-08-16,Estrela,Benfica,0,1,Helder Carvalho,11530
2025,2025-08-16,Guimaraes,Estoril,3,2,Jose Bessa,12889
2025,2025-08-17,Alverca,Sp Braga,0,3,Miguel Nogueira,8910
2025,2025-08-17,Rio Ave,Nacional,1,1,Claudio Pereira,8767
2025,2025-08-17,Santa Clara,Moreirense,0,1,David Silva,11505
2025,2025-08-17,Sp Lisbon,Arouca,6,0,Helder Malheiro,3046
2025,2025-08-18,Gil Vicente,Porto,0,2,Ricardo Baixinho,5302
2025,2025-08-23,Benfica,Tondela,3,0,Anzhony Rodrigues,8766
2025,2025-08-23,Arouca,Rio Ave,3,3,Helder Carvalho,11530
2025,2025-08-23,Moreirense,Guimaraes,2,0,Joao Pinheiro,5157
2025,2025-08-23,Nacional,Sp Lisbon,1,4,Bruno Pires Costa,11547
2025,2025-08-24,Famalicao,Gil Vicente,0,0,Pedro Ramalho,5402
2025,2025-08-24,Porto,Casa Pia,4,0,Sergio Guelho,11327
2025,2025-08-24,Sp Braga,AVS,2,2,Joao Goncalves,11471
